Frameworx Function,Description,Function Identifier,Frameworx Application (containing),Vertical Group,Frameworx Domain,Issue
eLearning Course Administration,eLearning Course Administration is the function for eLearning sites where the participation is fully automated. The eLearning Administration lists available trainings and students can book and run a training.,712,BI Supporting Applications(Deleted),,Enterprise Domain,
eLearning Interactive Lecturing,eLearning Interactive Lecturing is an eLearning function where the student follows a training course in interactive way with queries and answers or tests and answers to encourage learning.,711,BI Supporting Applications(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Electronic Payment Integration,Electronic Payment Integration provides electronic payments of all types to all destinies.,815,Accounts Payable,,Enterprise Domain,Application Framework 21.0 Modification
Employee Benefits Administration,"Employee Benefits Administration provides the  function of Administration of the Benefit Programs for Health, Dental, Pensions, Savings Plans, Stock Plans, Life/Dismemberment insurance and Long Term Healthcare, including to Ensure benefit programs meet legal/regulatory requirements.",1057,Benefits Management,,Enterprise Domain,
Employee Benefits Development,"Employee Benefits Development provides the  functionality of supporting of the
Development of the Benefit Programs for Health, Dental, Pensions, Savings Plans, Stock Plans, Life/Dismemberment insurance and Long Term Healthcare, including to Ensure benefit programs meet legal/regulatory requirements.",797,Benefits Management,,Enterprise Domain,Application Framework 21.0 Modification
Employee Benefits Management Reporting,"Employee Benefits Management Reporting function handles the Reporting of the use of the Benefit Programs for Health, Dental, Pensions, Savings Plans, Stock Plans, Life/Dismemberment insurance and Long Term Healthcare",1058,Benefits Management,,Enterprise Domain,
Employee Benefits Use Analyzing,"Employee Benefits Use Analyzing function handles the Analytics of the use of Benefit Programs for Health, Dental, Pensions, Savings Plans, Stock Plans, Life/Dismemberment insurance and Long Term Healthcare",798,Benefits Management,,Enterprise Domain,Application Framework 21.0 Modification
Employee Expense Reimbursement to Accounts Payable Integration,Employee Expense Reimbursement to Accounts Payable Integration for Integration with Accounts Payable functions,833,Employee Expense Reimbursement,,Enterprise Domain,Application Framework 21.0 Modification
Employee Records Administration,"Employee Records Administration provides the following functionality:
• Manages long term storage of employee records. 
• Defines what employee records are to be retained. 
• Defines record retention/destruction guidelines.",784,Employee Records Management,,Enterprise Domain,
Employee Records Search and Retrieval,"Employee Records Search and Retrieval provides the following functionality:
• Provides required records on requests.",785,Employee Records Management,,Enterprise Domain,Application Framework 21.0 Modification
Enterprise Collaboration Support,Enterprise Collaboration Support provides Web Site & Portal platforms to support Collaboration within the Enterprise,908,Enterprise Information and Collaboration Management,,Enterprise Domain,Application Framework 21.0 Modification
